task,method,seed,step,success_rate,mean_return,mean_steps
coffee_office,Q-learning,2,1800,1.0,0.9702990000000004,4.0
coffee_office,Q-learning,2,1900,1.0,0.9702990000000004,4.0
coffee_office,Q-learning,2,2000,1.0,0.9702990000000004,4.0
coffee_office,QRM,2,100,0.45,0.35083419956963313,39.5
coffee_office,QRM,2,200,1.0,0.9702990000000004,4.0
coffee_office,QRM,2,300,1.0,0.9702990000000004,4.0
coffee_office,QRM,2,400,1.0,0.9702990000000004,4.0
coffee_office,QRM,2,500,1.0,0.9702990000000004,4.0
coffee_office,QRM,2,600,1.0,0.9702990000000004,4.0
coffee_office,QRM,2,700,1.0,0.9702990000000004,4.0
coffee_office,QRM,2,800,1.0,0.9702990000000004,4.0
coffee_office,QRM,2,900,1.0,0.9702990000000004,4.0
coffee_office,QRM,2,1000,1.0,0.9702990000000004,4.0
coffee_office,QRM,2,1100,1.0,0.9702990000000004,4.0
coffee_office,QRM,2,1200,1.0,0.9702990000000004,4.0
coffee_office,QRM,2,1300,1.0,0.9702990000000004,4.0
coffee_office,QRM,2,1400,1.0,0.9702990000000004,4.0
coffee_office,QRM,2,1500,1.0,0.9702990000000004,4.0
coffee_office,QRM,2,1600,1.0,0.9702990000000004,4.0
coffee_office,QRM,2,1700,1.0,0.9702990000000004,4.0
coffee_office,QRM,2,1800,1.0,0.9702990000000004,4.0
coffee_office,QRM,2,1900,1.0,0.9702990000000004,4.0
coffee_office,QRM,2,2000,1.0,0.9702990000000004,4.0
coffee_office,Q-learning,3,100,0.45,0.35592948421064546,38.9
coffee_office,Q-learning,3,200,1.0,0.9702990000000004,4.0
coffee_office,Q-learning,3,300,1.0,0.9702990000000004,4.0
coffee_office,Q-learning,3,400,1.0,0.9702990000000004,4.0
coffee_office,Q-learning,3,500,1.0,0.9702990000000004,4.0
coffee_office,Q-learning,3,600,1.0,0.9702990000000004,4.0
coffee_office,Q-learning,3,700,1.0,0.9702990000000004,4.0
coffee_office,Q-learning,3,800,1.0,0.9702990000000004,4.0
coffee_office,Q-learning,3,900,1.0,0.9702990000000004,4.0
coffee_office,Q-learning,3,1000,1.0,0.9702990000000004,4.0
coffee_office,Q-learning,3,1100,1.0,0.9702990000000004,4.0
coffee_office,Q-learning,3,1200,1.0,0.9702990000000004,4.0
coffee_office,Q-learning,3,1300,1.0,0.9702990000000004,4.0
coffee_office,Q-learning,3,1400,1.0,0.9702990000000004,4.0
coffee_office,Q-learning,3,1500,1.0,0.9702990000000004,4.0
coffee_office,Q-learning,3,1600,1.0,0.9702990000000004,4.0
coffee_office,Q-learning,3,1700,1.0,0.9702990000000004,4.0
coffee_office,Q-learning,3,1800,1.0,0.9702990000000004,4.0
coffee_office,Q-learning,3,1900,1.0,0.9702990000000004,4.0
coffee_office,Q-learning,3,2000,1.0,0.9702990000000004,4.0
coffee_office,QRM,3,100,0.45,0.35592948421064546,38.9
coffee_office,QRM,3,200,1.0,0.9702990000000004,4.0
coffee_office,QRM,3,300,1.0,0.9702990000000004,4.0
coffee_office,QRM,3,400,1.0,0.9702990000000004,4.0
coffee_office,QRM,3,500,1.0,0.9702990000000004,4.0
coffee_office,QRM,3,600,1.0,0.9702990000000004,4.0
coffee_office,QRM,3,700,1.0,0.9702990000000004,4.0
coffee_office,QRM,3,800,1.0,0.9702990000000004,4.0
coffee_office,QRM,3,900,1.0,0.9702990000000004,4.0
coffee_office,QRM,3,1000,1.0,0.9702990000000004,4.0
coffee_office,QRM,3,1100,1.0,0.9702990000000004,4.0
coffee_office,QRM,3,1200,1.0,0.9702990000000004,4.0
coffee_office,QRM,3,1300,1.0,0.9702990000000004,4.0
coffee_office,QRM,3,1400,1.0,0.9702990000000004,4.0
coffee_office,QRM,3,1500,1.0,0.9702990000000004,4.0
coffee_office,QRM,3,1600,1.0,0.9702990000000004,4.0
coffee_office,QRM,3,1700,1.0,0.9702990000000004,4.0
coffee_office,QRM,3,1800,1.0,0.9702990000000004,4.0
coffee_office,QRM,3,1900,1.0,0.9702990000000004,4.0
coffee_office,QRM,3,2000,1.0,0.9702990000000004,4.0
coffee_office,Q-learning,4,100,0.35,0.2861789847287005,40.1
coffee_office,Q-learning,4,200,0.6,0.5014707086337868,31.9
coffee_office,Q-learning,4,300,1.0,0.9702990000000004,4.0
coffee_office,Q-learning,4,400,1.0,0.9702990000000004,4.0
coffee_office,Q-learning,4,500,1.0,0.9702990000000004,4.0
coffee_office,Q-learning,4,600,1.0,0.9702990000000004,4.0
coffee_office,Q-learning,4,700,1.0,0.9702990000000004,4.0
coffee_office,Q-learning,4,800,1.0,0.9702990000000004,4.0
coffee_office,Q-learning,4,900,1.0,0.9702990000000004,4.0
coffee_office,Q-learning,4,1000,1.0,0.9702990000000004,4.0
coffee_office,Q-learning,4,1100,1.0,0.9702990000000004,4.0
coffee_office,Q-learning,4,1200,1.0,0.9702990000000004,4.0
coffee_office,Q-learning,4,1300,1.0,0.9702990000000004,4.0
coffee_office,Q-learning,4,1400,1.0,0.9702990000000004,4.0
coffee_office,Q-learning,4,1500,1.0,0.9702990000000004,4.0
coffee_office,Q-learning,4,1600,1.0,0.9702990000000004,4.0
coffee_office,Q-learning,4,1700,1.0,0.9702990000000004,4.0
coffee_office,Q-learning,4,1800,1.0,0.9702990000000004,4.0
coffee_office,Q-learning,4,1900,1.0,0.9702990000000004,4.0
coffee_office,Q-learning,4,2000,1.0,0.9702990000000004,4.0
coffee_office,QRM,4,100,0.35,0.2861789847287005,40.1
coffee_office,QRM,4,200,0.6,0.5014707086337868,31.9
coffee_office,QRM,4,300,1.0,0.9702990000000004,4.0
coffee_office,QRM,4,400,1.0,0.9702990000000004,4.0
coffee_office,QRM,4,500,1.0,0.9702990000000004,4.0
coffee_office,QRM,4,600,1.0,0.9702990000000004,4.0
coffee_office,QRM,4,700,1.0,0.9702990000000004,4.0
coffee_office,QRM,4,800,1.0,0.9702990000000004,4.0
coffee_office,QRM,4,900,1.0,0.9702990000000004,4.0
coffee_office,QRM,4,1000,1.0,0.9702990000000004,4.0
coffee_office,QRM,4,1100,1.0,0.9702990000000004,4.0
coffee_office,QRM,4,1200,1.0,0.9702990000000004,4.0
coffee_office,QRM,4,1300,1.0,0.9702990000000004,4.0
coffee_office,QRM,4,1400,1.0,0.9702990000000004,4.0
coffee_office,QRM,4,1500,1.0,0.9702990000000004,4.0
coffee_office,QRM,4,1600,1.0,0.9702990000000004,4.0
coffee_office,QRM,4,1700,1.0,0.9702990000000004,4.0
coffee_office,QRM,4,1800,1.0,0.9702990000000004,4.0
coffee_office,QRM,4,1900,1.0,0.9702990000000004,4.0
coffee_office,QRM,4,2000,1.0,0.9702990000000004,4.0
coffee_office,Q-learning,5,100,0.25,0.20983921321680293,42.2
coffee_office,Q-learning,5,200,1.0,0.9702990000000004,4.0
coffee_office,Q-learning,5,300,1.0,0.9702990000000004,4.0
coffee_office,Q-learning,5,400,1.0,0.9702990000000004,4.0
coffee_office,Q-learning,5,500,1.0,0.9702990000000004,4.0
coffee_office,Q-learning,5,600,1.0,0.9702990000000004,4.0
coffee_office,Q-learning,5,700,1.0,0.9702990000000004,4.0
coffee_office,Q-learning,5,800,1.0,0.9702990000000004,4.0
coffee_office,Q-learning,5,900,1.0,0.9702990000000004,4.0
coffee_office,Q-learning,5,1000,1.0,0.9702990000000004,4.0
coffee_office,Q-learning,5,1100,1.0,0.9702990000000004,4.0
coffee_office,Q-learning,5,1200,1.0,0.9702990000000004,4.0
coffee_office,Q-learning,5,1300,1.0,0.9702990000000004,4.0
coffee_office,Q-learning,5,1400,1.0,0.9702990000000004,4.0
coffee_office,Q-learning,5,1500,1.0,0.9702990000000004,4.0
coffee_office,Q-learning,5,1600,1.0,0.9702990000000004,4.0
coffee_office,Q-learning,5,1700,1.0,0.9702990000000004,4.0
coffee_office,Q-learning,5,1800,1.0,0.9702990000000004,4.0
coffee_office,Q-learning,5,1900,1.0,0.9702990000000004,4.0
coffee_office,Q-learning,5,2000,1.0,0.9702990000000004,4.0
coffee_office,QRM,5,100,0.25,0.20983921321680293,42.2
coffee_office,QRM,5,200,1.0,0.9702990000000004,4.0
coffee_office,QRM,5,300,1.0,0.9702990000000004,4.0
coffee_office,QRM,5,400,1.0,0.9702990000000004,4.0
coffee_office,QRM,5,500,1.0,0.9702990000000004,4.0
coffee_office,QRM,5,600,1.0,0.9702990000000004,4.0
coffee_office,QRM,5,700,1.0,0.9702990000000004,4.0
coffee_office,QRM,5,800,1.0,0.9702990000000004,4.0
coffee_office,QRM,5,900,1.0,0.9702990000000004,4.0
coffee_office,QRM,5,1000,1.0,0.9702990000000004,4.0
coffee_office,QRM,5,1100,1.0,0.9702990000000004,4.0
coffee_office,QRM,5,1200,1.0,0.9702990000000004,4.0
coffee_office,QRM,5,1300,1.0,0.9702990000000004,4.0
coffee_office,QRM,5,1400,1.0,0.9702990000000004,4.0
coffee_office,QRM,5,1500,1.0,0.9702990000000004,4.0
coffee_office,QRM,5,1600,1.0,0.9702990000000004,4.0
coffee_office,QRM,5,1700,1.0,0.9702990000000004,4.0
coffee_office,QRM,5,1800,1.0,0.9702990000000004,4.0
coffee_office,QRM,5,1900,1.0,0.9702990000000004,4.0
coffee_office,QRM,5,2000,1.0,0.9702990000000004,4.0
coffee_office,Q-learning,6,100,0.35,0.2803203420116112,40.95
coffee_office,Q-learning,6,200,0.4,0.3509864565339942,35.75
coffee_office,Q-learning,6,300,0.3,0.25964663589820236,39.85
coffee_office,Q-learning,6,400,0.3,0.24410344152153135,41.6
coffee_office,Q-learning,6,500,0.85,0.7470381080720967,20.2
coffee_office,Q-learning,6,600,1.0,0.9702990000000004,4.0
coffee_office,Q-learning,6,700,1.0,0.9702990000000004,4.0
coffee_office,Q-learning,6,800,1.0,0.9702990000000004,4.0
coffee_office,Q-learning,6,900,1.0,0.9702990000000004,4.0
